Métrica,Valor
Timestamp,1758505058
Epsilon Start,0.7
Epsilon Min,0.05
Epsilon Decay,0.9995
Pasos Totales,10
Tiempo (s),0.0
Pasos/Segundo,10.0
Recompensa Total,102.199934
Recompensa Promedio,10.2199934
Pokemon Obtenidos,1
Suma de Niveles,5
Posiciones Exploradas,8
Eficiencia Exploración,0.8
