Métrica,Valor
Timestamp,1758505057
Epsilon Start,0.9
Epsilon Min,0.1
Epsilon Decay,0.999
Pasos Totales,243
Tiempo (s),0.0015158653259277344
Pasos/Segundo,243.0
Recompensa Total,146.77011000000005
Recompensa Promedio,0.6039922222222224
Pokemon Obtenidos,1
Suma de Niveles,5
Posiciones Exploradas,73
Eficiencia Exploración,0.3004115226337449
