Métrica,Valor
Algoritmo,Bfs
Pasos Totales,28
Tiempo (s),0.007
Recompensa Total,17.56
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,28
Acción Más Usada,1
Eficiencia (Recompensa/Paso),0.6271
Velocidad (Pasos/s),280.0
