Métrica,Valor
Timestamp,1758514576
Pasos Totales,18071
Recompensa Total,60.5604938271605
Tiempo (s),1222.4419622421265
Pasos/Segundo,14.78270589374673
Memoria (MB),191.67578125
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
