Métrica,Valor
Pasos Totales,500
Tiempo (s),528.7001953125
Recompensa Total,2.0
Eficiencia (Rew/Paso),0.004
Velocidad (Pasos/s),0.9457155575750523
Estado de Ejecución,Exitoso
