Métrica,Valor
Timestamp,1758379570
Pasos Totales,14744
Recompensa Total,49.3
Tiempo (s),991.7539701461792
Pasos/Segundo,14.866590347832753
Memoria (MB),188.37109375
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
