Métrica,Valor
Timestamp,1758344124
Pasos Totales,31748
Recompensa Total,61.9
Tiempo (s),2133.2980132102966
Pasos/Segundo,14.882121392980617
Memoria (MB),214.8359375
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
