Métrica,Valor
Algoritmo,Bfs
Pasos Totales,26
Tiempo (s),0.006
Recompensa Total,17.46
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,25
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.6715
Velocidad (Pasos/s),260.0
