Métrica,Valor
Timestamp,1758378203
Pasos Totales,31546
Recompensa Total,51.2
Tiempo (s),2138.940973520279
Pasos/Segundo,14.748420078222845
Memoria (MB),215.8671875
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
