Métrica,Valor
Timestamp,1758341468
Pasos Totales,12652
Recompensa Total,50.0
Tiempo (s),850.2413017749786
Pasos/Segundo,14.880481545165429
Memoria (MB),182.05859375
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
