Métrica,Valor
Pasos Totales,20
Tiempo (s),1.0474324226379395
Recompensa Total,0.2
Eficiencia (Rew/Paso),0.01
Velocidad (Pasos/s),19.094310590109828
Estado de Ejecución,Exitoso
