Métrica,Valor
Timestamp,1758505059
Epsilon Start,0.3
Epsilon Min,0.01
Epsilon Decay,0.9998
Pasos Totales,155
Tiempo (s),0.0
Pasos/Segundo,155.0
Recompensa Total,129.087754
Recompensa Promedio,0.8328242193548386
Pokemon Obtenidos,1
Suma de Niveles,5
Posiciones Exploradas,53
Eficiencia Exploración,0.3419354838709677
