Métrica,Valor
Algoritmo,Bfs
Pasos Totales,57
Tiempo (s),0.011
Recompensa Total,31.15
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,55
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.5465
Velocidad (Pasos/s),570.0
