Métrica,Valor
Timestamp,1758382670
Agente,PPO
Pasos Totales,351
Recompensa Total,26.1
Tiempo (s),24.78652000427246
Pasos/Segundo,14.160922950841748
Memoria (MB),378.64453125
Modelo,runs\poke_26214400.zip
Razón,Interrumpido por usuario
