Métrica,Valor
Pasos Totales,600
Tiempo (s),501.82912826538086
Recompensa Total,1.2000000000000002
Eficiencia (Rew/Paso),0.0020000000000000005
Velocidad (Pasos/s),1.195626093036799
Estado de Ejecución,Exitoso
