Eficiencia Exploración,Epsilon Decay,Epsilon Min,Epsilon Start,Pasos Totales,Pasos/Segundo,Pokemon Obtenidos,Posiciones Exploradas,Recompensa Promedio,Recompensa Total,Suma de Niveles,Tiempo (s),Timestamp,Algorithm,Source_File,Eficiencia (Rew/Paso),Estado de Ejecución,Velocidad (Pasos/s),Escenario,Memoria (MB),Razón,Agente,Modelo,Acción Más Usada,Algoritmo,Eficiencia (Recompensa/Paso),Posiciones Visitadas,Razón de Terminación,Total_Steps,Execution_Time,Total_Reward,Efficiency,Speed
,,,,6991,14.874199812374556,,,,45.0,,470.00847697257996,1758341959,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\5\epsilon_greedy_summary_1758341959.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),178.8203125,Interrumpido por usuario,,,,,,,,6991.0,470.00847697258,45.0,0.006436847375196682,14.874199812374554
,,,,31748,14.882121392980617,,,,61.9,,2133.2980132102966,1758344124,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\6\epsilon_greedy_summary_1758344124.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),214.8359375,Interrumpido por usuario,,,,,,,,31748.0,2133.2980132102966,61.9,0.0019497291167947586,14.882121392980617
,,,,23611,14.886181918864143,,,,52.6,,1586.1018042564392,1758376043,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\7\epsilon_greedy_summary_1758376043.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),198.921875,Interrumpido por usuario,,,,,,,,23611.0,1586.1018042564392,52.6,0.0022277751895303038,14.886181918864143
,,,,31546,14.748420078222845,,,,51.2,,2138.940973520279,1758378203,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\8\epsilon_greedy_summary_1758378203.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),215.8671875,Interrumpido por usuario,,,,,,,,31546.0,2138.940973520279,51.2,0.0016230266911811324,14.748420078222845
,,,,4535,14.734592475325766,,,,34.1,,307.77912640571594,1758378533,epsilon_greedy,RESULTADOS\epsilon_greedy\epsilon_greedy\9\epsilon_greedy_summary_1758378533.csv,,,,Primer Pokémon obtenido (Interrumpido por usuario),171.63671875,Interrumpido por usuario,,,,,,,,4535.0,307.77912640571594,34.1,0.007519294377067255,14.734592475325766
0.4276315789473684,0.999,0.1,0.9,304.0,304.0,1.0,130.0,0.5189254440789474,157.753335,5.0,0.0015137195587158,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\1\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,304.0,0.0015137195587158,157.753335,0.5189254440789474,3040.0
0.4117647058823529,0.999,0.1,0.9,85.0,85.0,1.0,35.0,1.359955988235294,115.596259,5.0,0.0,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\10\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,85.0,0.0,115.596259,1.359955988235294,850.0
1.25,0.999,0.1,0.9,4.0,4.0,1.0,5.0,25.34999625,101.399985,5.0,0.0,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\11\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,4.0,0.0,101.399985,25.34999625,40.0
0.3292496171516079,0.999,0.1,0.9,653.0,653.0,1.0,215.0,0.3431635758039816,224.08581500000005,5.0,0.001514196395874,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\2\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,653.0,0.001514196395874,224.08581500000005,0.3431635758039817,6530.0
0.3287671232876712,0.999,0.1,0.9,365.0,365.0,1.0,120.0,0.332692709589041,121.43283899999996,7.0,0.0015125274658203,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\3\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,365.0,0.0015125274658203,121.43283899999996,0.33269270958904096,3650.0
0.292079207920792,0.999,0.1,0.9,202.0,202.0,1.0,59.0,0.6682143267326733,134.979294,5.0,0.0015134811401367,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\4\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,202.0,0.0015134811401367,134.979294,0.6682143267326733,2020.0
0.3004115226337449,0.999,0.1,0.9,243.0,243.0,1.0,73.0,0.6039922222222224,146.77011000000005,5.0,0.0015158653259277,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\5\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,243.0,0.0015158653259277,146.77011000000005,0.6039922222222224,2430.0
0.3904494382022472,0.999,0.1,0.9,356.0,356.0,1.0,139.0,0.454314879213483,161.73609699999997,5.0,0.0010373592376708,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\6\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,356.0,0.0010373592376708,161.73609699999997,0.45431487921348307,3560.0
0.3471400394477317,0.999,0.1,0.9,507.0,507.0,1.0,176.0,0.3800211321499013,192.670714,5.0,0.0015156269073486,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\7\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,507.0,0.0015156269073486,192.670714,0.3800211321499014,5070.0
0.3758339510748703,0.999,0.1,0.9,1349.0,1349.0,1.0,507.0,0.2194129540400298,295.98807500000026,10.0,0.0030229091644287,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\8\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,1349.0,0.0030229091644287,295.98807500000026,0.21941295404002986,13490.0
0.3636363636363636,0.999,0.1,0.9,55.0,55.0,1.0,20.0,2.001789163636364,110.098404,5.0,0.0,1758505057.0,epsilon_greedy_alta_exploracion,RESULTADOS\epsilon_greedy_comparison\alta_exploracion\9\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,55.0,0.0,110.098404,2.0017891636363636,550.0
0.4151515151515151,0.9995,0.05,0.5,330.0,330.0,1.0,137.0,0.3143789515151516,103.74505400000004,11.0,0.0015127658843994,1758505058.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\1\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,330.0,0.0015127658843994,103.74505400000004,0.3143789515151516,3300.0
