Métrica,Valor
Timestamp,1758382850
Agente,PPO
Pasos Totales,336
Recompensa Total,26.1
Tiempo (s),23.88320255279541
Pasos/Segundo,14.068465033416253
Memoria (MB),377.9375
Modelo,runs\poke_26214400.zip
Razón,Interrumpido por usuario
