Métrica,Valor
Timestamp,1758505059
Epsilon Start,0.5
Epsilon Min,0.05
Epsilon Decay,0.9995
Pasos Totales,140
Tiempo (s),0.0
Pasos/Segundo,140.0
Recompensa Total,123.88998899999999
Recompensa Promedio,0.8849284928571427
Pokemon Obtenidos,1
Suma de Niveles,5
Posiciones Exploradas,41
Eficiencia Exploración,0.29285714285714287
