Métrica,Valor
Algoritmo,Bfs
Pasos Totales,49
Tiempo (s),0.009
Recompensa Total,25.73
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,46
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.5251
Velocidad (Pasos/s),490.0
