Métrica,Valor
Algoritmo,Bfs
Pasos Totales,12
Tiempo (s),0.003
Recompensa Total,12.28
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,12
Acción Más Usada,0
Eficiencia (Recompensa/Paso),1.0233
Velocidad (Pasos/s),120.0
