Métrica,Valor
Timestamp,1758383443
Agente,PPO
Pasos Totales,317
Recompensa Total,25.6
Tiempo (s),22.297815084457397
Pasos/Segundo,14.21663955859799
Memoria (MB),377.63671875
Modelo,runs\poke_26214400.zip
Razón,Interrumpido por usuario
