Métrica,Valor
Timestamp,1758382944
Agente,PPO
Pasos Totales,344
Recompensa Total,26.1
Tiempo (s),29.236634969711304
Pasos/Segundo,11.766059957186544
Memoria (MB),378.2109375
Modelo,runs\poke_26214400.zip
Razón,Interrumpido por usuario
