Métrica,Valor
Pasos Totales,600
Tiempo (s),449.7311706542969
Recompensa Total,30.8
Eficiencia (Rew/Paso),0.051333333333333335
Velocidad (Pasos/s),1.3341303408591463
Estado de Ejecución,Exitoso
