Métrica,Valor
Pasos Totales,20
Tiempo (s),1.4551219940185547
Recompensa Total,0.8
Eficiencia (Rew/Paso),0.04
Velocidad (Pasos/s),13.744552059698284
Estado de Ejecución,Exitoso
