Métrica,Valor
Pasos Totales,600
Tiempo (s),845.1943559646606
Recompensa Total,10.9
Eficiencia (Rew/Paso),0.018166666666666668
Velocidad (Pasos/s),0.709895890531819
Estado de Ejecución,Exitoso
