Métrica,Valor
Pasos Totales,40
Tiempo (s),0.9673662185668945
Recompensa Total,0.5
Eficiencia (Rew/Paso),0.0125
Velocidad (Pasos/s),41.349386852952165
Estado de Ejecución,Exitoso
