Métrica,Valor
Pasos Totales,25
Tiempo (s),1.7162017822265625
Recompensa Total,1.0
Eficiencia (Rew/Paso),0.04
Velocidad (Pasos/s),14.567051647951065
Estado de Ejecución,Exitoso
