Métrica,Valor
Pasos Totales,40
Tiempo (s),1.0137434005737305
Recompensa Total,0.6000000000000001
Eficiencia (Rew/Paso),0.015000000000000003
Velocidad (Pasos/s),39.45771679239727
Estado de Ejecución,Exitoso
