Métrica,Valor
Pasos Totales,500
Tiempo (s),535.6569271087646
Recompensa Total,2.0
Eficiencia (Rew/Paso),0.004
Velocidad (Pasos/s),0.9334332754712522
Estado de Ejecución,Exitoso
