Métrica,Valor
Algoritmo,Bfs
Pasos Totales,14
Tiempo (s),0.003
Recompensa Total,12.55
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,14
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.8964
Velocidad (Pasos/s),140.0
