Métrica,Valor
Algoritmo,Bfs
Pasos Totales,16
Tiempo (s),0.005
Recompensa Total,15.86
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,16
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.9912
Velocidad (Pasos/s),160.0
