Métrica,Valor
Algoritmo,Bfs
Pasos Totales,29
Tiempo (s),0.007
Recompensa Total,18.85
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,29
Acción Más Usada,0
Eficiencia (Recompensa/Paso),0.65
Velocidad (Pasos/s),290.0
