Métrica,Valor
Timestamp,1758382562
Pasos Totales,25721
Recompensa Total,37.6
Tiempo (s),1730.6351327896118
Pasos/Segundo,14.86217372609344
Memoria (MB),203.6328125
Razón,Interrumpido por usuario
Escenario,Primer Pokémon obtenido (Interrumpido por usuario)
