Métrica,Valor
Algoritmo,Simulated Annealing
Pasos Totales,1
Tiempo (s),0.0
Recompensa Total,12.01
Pokemon Obtenidos,1
Razón de Terminación,Pokemon obtenido
Posiciones Visitadas,1
Acción Más Usada,4
Eficiencia (Recompensa/Paso),12.01
Velocidad (Pasos/s),10.0
