Métrica,Valor
Timestamp,1758383636
Agente,PPO
Pasos Totales,361
Recompensa Total,26.1
Tiempo (s),25.56605339050293
Pasos/Segundo,14.120286556786326
Memoria (MB),378.25390625
Modelo,runs\poke_26214400.zip
Razón,Interrumpido por usuario
